> AI: RandomAI (  2手読み)
  1. YY (3, 1) [   0 ms]       0 (+     0) | Random (retry: 0)
  2. RR (4, 3) [   0 ms]       0 (+     0) | Random (retry: 0)
  3. YG (4, 2) [   0 ms]       0 (+     0) | Random (retry: 0)
  4. BB (4, 1) [   0 ms]       0 (+     0) | Random (retry: 0)
  5. BY (1, 2) [   0 ms]       0 (+     0) | Random (retry: 0)
  6. BR (2, 3) [   0 ms]       0 (+     0) | Random (retry: 0)
  7. RY (5, 1) [   0 ms]       0 (+     0) | Random (retry: 0)
  8. RR (1, 1) [   0 ms]      40 (+    40) | Random (retry: 0)
  9. YG (6, 2) [   0 ms]      40 (+     0) | Random (retry: 0)
 10. YR (2, 0) [   0 ms]      40 (+     0) | Random (retry: 0)
 11. YY (5, 1) [   0 ms]      40 (+     0) | Random (retry: 0)
 12. BB (5, 3) [   0 ms]      40 (+     0) | Random (retry: 0)
 13. RY (4, 2) [   0 ms]      40 (+     0) | Random (retry: 0)
 14. BY (3, 1) [   0 ms]      40 (+     0) | Random (retry: 0)
 15. RR (3, 0) [   0 ms]     140 (+   100) | Random (retry: 0)
 16. GG (5, 2) [   0 ms]     140 (+     0) | Random (retry: 0)
 17. YY (6, 2) [   0 ms]     180 (+    40) | Random (retry: 0)
 18. GR (5, 1) [   0 ms]     180 (+     0) | Random (retry: 0)
 19. RG (2, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 20. RG (5, 3) [   0 ms]     180 (+     0) | Random (retry: 0)
 21. BY (1, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 22. RY (1, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 23. YY (6, 0) [   0 ms]     180 (+     0) | Random (retry: 0)
 24. GY (2, 3) [   0 ms]     180 (+     0) | Random (retry: 0)
 25. RR (5, 3) [   0 ms]     180 (+     0) | Random (retry: 0)
 26. GY (1, 0) [   0 ms]     180 (+     0) | Random (retry: 0)
 27. GG (5, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 28. BR (2, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 29. BG (1, 1) [   0 ms]     180 (+     0) | Random (retry: 0)
 30. RB (2, 2) [   0 ms]     180 (+     0) | Random (retry: 0)
 31. RY (6, 2) [   0 ms]     880 (+   700) | Random (retry: 0)
 32. YB (5, 0) [   0 ms]    1240 (+   360) | Random (retry: 0)
 33. GB (5, 3) [   0 ms]    1240 (+     0) | Random (retry: 0)
 34. GR (5, 2) [   0 ms]    1240 (+     0) | Random (retry: 0)
 35. GR (4, 2) [   0 ms]    1240 (+     0) | Random (retry: 0)
 36. RB (4, 2) [   0 ms]    1240 (+     0) | Random (retry: 0)
 37. GY (4, 0) [   0 ms]    1240 (+     0) | Random (retry: 0)
 38. YG (1, 0) [   0 ms]    1240 (+     0) | Random (retry: 0)
 39. RG (2, 0) [   0 ms]    1240 (+     0) | Random (retry: 6)
 40. BB (3, 0) [   0 ms]    1240 (+     0) | Random (retry: 2)
 41. YB (2, 3) [   0 ms]    1240 (+     0) | Random (retry: 1)
 42. RG (3, 2) [   0 ms]    1280 (+    40) | Random (retry: 23)
 43. BY (2, 1) [   0 ms]    1280 (+     0) | Random (retry: 0)
 44. BG (3, 2) [   0 ms]    1280 (+     0) | Random (retry: 1)
 45. BR (4, 3) [   0 ms]    1280 (+     0) | Random (retry: 2)
 46. RY (3, 0) [   0 ms]    1380 (+   100) | Random (retry: 14)
 47. GY (3, 2) [   0 ms]    1420 (+    40) | Random (retry: 0)
 48. RY (2, 1) [   0 ms]    1420 (+     0) | Random (retry: 1)
 49. YY (3, 3) [   0 ms]    1420 (+     0) | Random (retry: 1)
 50. RR (1, 0) [   0 ms]    1420 (+     0) | Random (retry: 0)
 51. RY (3, 1) [   0 ms]    1420 (+     0) | Random (retry: 0)
http://www.puyop.com/s/_iq0CgAcydcam3G0agQfgiGcK3Adq0o6IiQ5G1k1Kdc3ciM8m0K886Iakba2k3QhE7K5I5A2A8wg81gcohm1sdibsaC3o8s3iiu083q
